headline,link,date,source
Minister Chee Hong Tat Instructs POFMA Office to Issue Correction Direction,https://www.pofmaoffice.gov.sg/files/media-releases/pofma_pr_mof_4July2024.pdf,04 JUL 2024,Chee Hong Tat
Minister for Home Affairs Instructs POFMA Office To Issue Directions,https://www.pofmaoffice.gov.sg/files/media-releases/pofma_pr_mha_29Jun2024.pdf,29 JUN 2024,POFMA Office
Gutzy Asia's Website and Social Media Pages made Declared Online Locations under POFMA,https://www.pofmaoffice.gov.sg/files/media-releases/pofma_pr_mci_11Jun2024.pdf,11 JUN 2024,No Source
Minister Edwin Tong Instructs Pofma Office to Issue Correction Direction,https://www.pofmaoffice.gov.sg/files/media-releases/pofma_pr_mlaw_29May2024_01.pdf,29 MAY 2024,Edwin Tong
Minister for Transport Instructs POFMA Office To Issue Correction Direction,https://www.pofmaoffice.gov.sg/files/media-releases/pofma_pr_mot_27Mar2024_01.pdf,27 MAR 2024,Transport
Minister Desmond Lee Instructs POFMA Office To Issue Correction Direction and Targeted CD,https://www.pofmaoffice.gov.sg/files/media-releases/pofma_pr_mnd_22feb2024_01.pdf,22 FEB 2024,Desmond Lee
Minister Edwin Tong Instructs POFMA Office To Issue Correction Directions,https://www.pofmaoffice.gov.sg/files/media-releases/pofma_pr_minlaw_18feb2024_01.pdf,18 FEB 2024,Edwin Tong
Minister Masagos Zulkifli Instructs POFMA Office to Issue Correction Directions,https://www.pofmaoffice.gov.sg/files/media-releases/pofma_pr_msf_15feb2024_01.pdf,15 FEB 2024,Masagos Zulkifli
Kenneth Jeyaretnam's Website and Social Media Pages made Declared Online Locations under POFMA,https://www.pofmaoffice.gov.sg/files/media-releases/pofma_pr_mci_11Dec2023.pdf,11 DEC 2023,No Source
DPM and Minister for Finance instructs POFMA Office To Issue Correction Direction,https://www.pofmaoffice.gov.sg/files/media-releases/pofma-pr-mof-2nov2023-01.pdf,02 NOV 2023,No Source
Minister For Manpower Instructs Pofma Office to issue Correction Directions,https://www.pofmaoffice.gov.sg/files/media-releases/pofma-pr-mom-16oct2023-01.pdf,16 OCT 2023,Pofma Office
Minister in the PMO Instructs POFMA Office to cancel POFMA Directions,https://www.pofmaoffice.gov.sg/files/media-releases/pofma-pr-pmo-22sep2023-01 (1).pdf,22 SEP 2023,PMO
Minister For Communications and Information Instructs IMDA to remove Access Blocking Order,https://www.pofmaoffice.gov.sg/files/media-releases/pofma-pr-mci-22sep2023-01.pdf,22 SEP 2023,Communications and Information
Minister in the PMO Instructs POFMA Office to Issue Targeted Correction Direction,https://www.pofmaoffice.gov.sg/files/media-releases/pofma-pr-pmo-16sep2023-01.pdf,16 SEP 2023,PMO
Minister for Communications and Information Instructs IMDA to Issue Access Blocking Orders,https://www.pofmaoffice.gov.sg/files/media-releases/pofma-pr-mci-16sep2023-01.pdf,16 SEP 2023,Communications and Information
Minister in the Prime Minister's Office Instructs POFMA Office to Issue Correction Direction,https://www.pofmaoffice.gov.sg/files/media-releases/pofma-pr-pmo-13sep2023-01.pdf,13 SEP 2023,' s Office
Minister for Home Affairs Instructs POFMA Office To Issue Correction Direction,https://www.pofmaoffice.gov.sg/files/media-releases/pofma-pr-mha-13sep2023-01.pdf,13 SEP 2023,POFMA Office
Minister Edwin Tong Instructs Pofma Office to Issue Correction Direction,https://www.pofmaoffice.gov.sg/files/media-releases/pofma-pr-minlaw-30aug2023-01.pdf,30 AUG 2023,Edwin Tong
Minister For National Development Instructs Pofma Office To Issue Directions,https://www.pofmaoffice.gov.sg/files/media-releases/pofma-pr-mnd-minlaw-24aug2023-01.pdf,24 AUG 2023,Pofma Office
Minister Edwin Tong Instructs POFMA Office To Issue Correction Direction,https://www.pofmaoffice.gov.sg/files/media-releases/pofma-pr-mlaw-22aug2023-01.pdf,22 AUG 2023,Edwin Tong
Minister for Manpower Instructs Pofma Office To Issue Directions,https://www.pofmaoffice.gov.sg/files/media-releases/pofma-pr-mom-20aug2023-01.pdf,20 AUG 2023,Pofma Office
Minister in charge of the Public Service Instructs POFMA Office To Issue POFMA Directions,https://www.pofmaoffice.gov.sg/files/media-releases/pofma-pr-pmo-18aug2023-01.pdf,18 AUG 2023,Public Service
Minister Edwin Tong Instructs POFMA Office to Issue Correction Direction,https://www.pofmaoffice.gov.sg/files/media-releases/pofma-pr-mlaw-2aug2023-01.pdf,02 AUG 2023,Edwin Tong
Minister Edwin Tong Instructs POFMA Office To Issue Correction Direction,https://www.pofmaoffice.gov.sg/files/media-releases/pofma-pr-mlaw-25july2023-01.pdf,25 JUL 2023,Edwin Tong
The Online Citizen Asia Made a Declared Online Location Under POFMA,https://www.pofmaoffice.gov.sg/files/media-releases/pofma-pr-mci-21july2023-01.pdf,21 JUL 2023,No Source
Minister Indranee Rajah Instructs POFMA Office To Issue Correction Direction,https://www.pofmaoffice.gov.sg/files/media-releases/pofma-pr-pmo-21july2023-01.pdf,21 JUL 2023,Indranee Rajah
Minister in the Prime Minister Office Instructs POFMA Office To Issue Correction Direction,https://www.pofmaoffice.gov.sg/files/media-releases/pofma-pr-pmo-20july2023-01.pdf,20 JUL 2023,Minister Office
Minister Edwin Tong and Minister Josephine Teo Instruct POFMA Office to Issue Correction Directions,https://www.pofmaoffice.gov.sg/files/media-releases/pofma-pr-mlaw-mci-16july2023-02.pdf,16 JUL 2023,Edwin Tong
Minister Edwin Tong Instructs POFMA Office to Issue Correction Directions,https://www.pofmaoffice.gov.sg/files/media-releases/pofma-pr-mlaw-16july2023-01.pdf,16 JUL 2023,Edwin Tong
Minister for Communications and Information Instructs IMDA to Issue Access Blocking Orders,https://www.pofmaoffice.gov.sg/files/media-releases/pofma-pr-mci-imda-2june2023-01.pdf,02 JUN 2023,Communications and Information
Minister for Home Affairs Instructs POFMA Office to Issue Correction Direction,https://www.pofmaoffice.gov.sg/files/media-releases/pofma-pr-mha-26may2023-01.pdf,26 MAY 2023,POFMA Office
Second Minister for Home Affairs Instructs POFMA Office to Issue Correction Directions,https://www.pofmaoffice.gov.sg/files/media-releases/pofma-pr-mha-19may2023-01.pdf,19 MAY 2023,No Source
Minister For Home Affairs Instructs POFMA Office To Issue Correction Directions,https://www.pofmaoffice.gov.sg/files/media-releases/pofma-pr-mha-7may2023-01.pdf,07 MAY 2023,POFMA Office
Minister For Finance Instructs Pofma Office To Issue Correction Directions,https://www.pofmaoffice.gov.sg/files/media-releases/pofma-pr-mof-18nov2022-01.pdf,18 NOV 2022,Finance
Minister For National Development Instructs Pofma Office To Issue Correction Direction,https://www.pofmaoffice.gov.sg/files/media-releases/pofma-pr-mnd-14oct2022-01.pdf,14 OCT 2022,Pofma Office
Minister For Health Instructs Pofma Office To Issue Correction Direction,https://www.pofmaoffice.gov.sg/files/media-releases/pofma-pr-moh-14oct2022-01.pdf,14 OCT 2022,Pofma Office
Minister for National Development Instructs POFMA Office to Issue Targeted Correction Direction,https://www.pofmaoffice.gov.sg/files/media-releases/pofma-pr-mnd-6sep2022-01.pdf,06 SEP 2022,POFMA Office
Minister for National Development Instructs POFMA Office to Issue Correction Direction,https://www.pofmaoffice.gov.sg/files/media-releases/pofma-pr-mnd-4sep2022-01.pdf,04 SEP 2022,POFMA Office
POFMA Office issues warning to woman for COVID 19 falsehoods,https://www.pofmaoffice.gov.sg/files/media-releases/pofma-pr-pofma-31aug2022-01.pdf,31 AUG 2022,No Source
Minister for Social and Family Development Instructs POFMA Office to Issue Correction Direction,https://www.pofmaoffice.gov.sg/files/media-releases/pofma-pr-msf-12may2022-01.pdf,12 MAY 2022,Social and Family Development
Minister for Law Instructs POFMA Office to Issue Correction Directions,https://www.pofmaoffice.gov.sg/files/media-releases/pofma-pr-mlaw-22apr2022-01.pdf,22 APR 2022,POFMA Office
POFMA Office issues warning to woman for COVID 19 falsehood,https://www.pofmaoffice.gov.sg/files/media-releases/pofma-pr-pofma-31mar2022-01.pdf,31 MAR 2022,No Source
Minister for Health Instructs POFMA Office to Issue Correction Direction,https://www.pofmaoffice.gov.sg/files/media-releases/pofma-pr-moh-27mar2022-01.pdf,26 MAR 2022,POFMA Office
